,activity,name,location,type,unit,code
4829,4790,Processing of meat cattle,PL,process,ton,PL-Processing of meat cattle
4830,676,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",BG,process,ton,"BG-Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
4831,6024,Transport via railways,KR,process,Meuro,KR-Transport via railways
4832,4900,Incineration of waste: Wood,PL,process,ton,PL-Incineration of waste: Wood
4833,2570,Distribution of gaseous fuels through mains,HU,process,Meuro,HU-Distribution of gaseous fuels through mains
4834,1472,"Recreational, cultural and sporting activities",CZ,process,Meuro,"CZ-Recreational, cultural and sporting activities (92)"
4835,4244,Incineration of waste: Wood,MT,process,ton,MT-Incineration of waste: Wood
4836,7153,Production of electricity by biomass and waste,WA,process,TJ,WA-Production of electricity by biomass and waste
4837,3150,Processing of meat cattle,IE,process,ton,IE-Processing of meat cattle
4838,1303,Landfill of waste: Plastic,CY,process,ton,CY-Landfill of waste: Plastic
